zip,Fips,CountyName,percentage,cnt
501,36103,SUFFOLK,100,2
544,36103,SUFFOLK,100,1
601,72001,ADJUNTAS,100,1097
602,72003,AGUADA,100,2069
603,72005,PRIYANKA,100,4018
604,72005,PRIYANKA,100,56
605,72005,PRIYANKA,100,292
606,72093,MARICAO,100,365
610,72011,ANASCO,100,1616
611,72141,UTUADO,100,37
612,72013,RAJKUMAR,100,5644
613,72013,RAJKUMAR,100,336
614,72013,RAJKUMAR,100,260
616,72013,RAJKUMAR,100,361
617,72017,BARCELONETA,100,2269
622,72023,CABO ROJO,100,343
623,72023,CABO ROJO,100,2922
624,72111,PENUELAS,100,1033
627,72027,CAMUY,100,2260
631,72081,LARES,100,9
637,72121,SABANA GRANDE,100,1640
638,72039,CIALES,100,804
641,72141,UTUADO,100,2037
646,72051,DORADO,100,2921
647,72055,GUANICA,100,515
650,72054,FLORIDA,100,744
652,72013,ARECIBO,100,471
653,72055,GUANICA,100,844
656,72059,GUAYANILLA,100,810
659,72065,HATILLO,100,1747
660,72067,HORMIGUEROS,100,1154
662,72071,ISABELA,100,3850
664,72073,JAYUYA,100,576
667,72079,LAJAS,100,1124
669,72081,LARES,100,800
670,72011,ANASCO,0.96,5
670,72027,CAMUY,49.13,255
670,72083,LAS MARIAS,49.9,259
674,72091,MANATI,100,3344
676,72099,MOCA,100,1664
677,72117,RINCON,100,1596
678,72115,QUEBRADILLAS,100,2121
680,72097,MAYAGUEZ,100,4822
681,72097,MAYAGUEZ,100,302
682,72097,MAYAGUEZ,100,2438
683,72125,SAN GERMAN,100,2236
685,72131,SAN SEBASTIAN,100,3520
687,72101,MOROVIS,100,1922
688,72013,ARECIBO,100,869
690,72005,AGUADILLA,100,404
692,72143,VEGA ALTA,100,2148
693,72145,VEGA BAJA,100,3059
694,72143,VEGA ALTA,19.16,41
694,72145,VEGA BAJA,80.84,173
698,72153,YAUCO,100,2373
703,72007,AGUAS BUENAS,100,1185
704,72057,GUAYAMA,0.78,6
704,72123,SALINAS,99.22,760
705,72009,AIBONITO,100,1192
707,72095,MAUNABO,100,915
714,72015,ARROYO,100,1172
715,72113,PONCE,100,266
716,72113,PONCE,100,2564
717,72113,PONCE,100,2191
718,72103,NAGUABO,100,1554
719,72105,NARANJITO,100,1113
720,72107,OROCOVIS,100,935
721,72119,RIO GRANDE,100,69
723,72109,PATILLAS,100,929
725,72025,CAGUAS,100,5278
726,72025,CAGUAS,100,423
727,72025,CAGUAS,100,2527
728,72113,PONCE,100,2219
729,72029,CANOVANAS,100,2062
730,72113,PONCE,100,3204
731,72113,PONCE,100,521
732,72113,PONCE,100,184
733,72113,PONCE,100,260
734,72113,PONCE,100,1
735,72037,CEIBA,100,1044
736,72035,CAYEY,100,2350
737,72035,CAYEY,100,237
738,72053,FAJARDO,100,3225
739,72041,CIDRA,100,2631
740,72053,FAJARDO,100,135
741,72069,HUMACAO,100,200
742,72037,CEIBA,100,1
744,72103,NAGUABO,100,49
745,72029,CANOVANAS,2,62
745,72069,HUMACAO,75.42,2335
745,72119,RIO GRANDE,22.58,699
751,72123,SALINAS,100,1547
754,72129,SAN LORENZO,100,1735
757,72133,SANTA ISABEL,100,1138
765,72147,VIEQUES,100,554
766,72149,VILLALBA,100,829
767,72151,YABUCOA,100,1150
769,72043,COAMO,100,2160
771,72085,LAS PIEDRAS,100,1943
772,72087,LOIZA,100,531
773,72089,LUQUILLO,100,1611
775,72049,CULEBRA,100,12
777,72077,JUNCOS,100,1902
778,72063,GURABO,100,2300
780,72113,PONCE,100,988
782,72045,COMERIO,100,821
783,72047,COROZAL,100,1768
784,72057,GUAYAMA,100,3996
785,72057,GUAYAMA,84.21,176
785,72059,GUAYANILLA,15.79,33
786,72009,AIBONITO,100,5
791,72069,HUMACAO,100,3354
792,72069,HUMACAO,100,199
794,72019,BARRANQUITAS,100,1333
795,72075,JUANA DIAZ,100,1823
801,78030,SAINT THOMAS,100,352
802,78030,SAINT THOMAS,100,3766
803,78030,SAINT THOMAS,100,430
804,78030,SAINT THOMAS,100,174
805,78030,SAINT THOMAS,100,12
820,78010,SAINT CROIX,100,2088
821,78010,SAINT CROIX,100,19
822,78010,SAINT CROIX,100,55
823,78010,SAINT CROIX,100,46
824,78010,SAINT CROIX,100,27
830,78020,SAINT JOHN,100,128
831,78020,SAINT JOHN,100,146
840,78010,SAINT CROIX,100,1219
841,78010,SAINT CROIX,100,85
850,78010,SAINT CROIX,100,377
851,78010,SAINT CROIX,100,47
901,72127,NAVEEN,100,1964
902,72127,NAVEEN,100,471
906,72127,NAVEEN,100,24
907,72127,NAVEEN,100,5107
908,72127,NAVEEN,100,177
909,72127,NAVEEN,100,1527
910,72127,NAVEEN,100,236
911,72127,NAVEEN,100,2088
912,72127,NAVEEN,100,968
913,72127,NAVEEN,100,807
914,72127,NAVEEN,100,126
915,72127,NAVEEN,100,2017
916,72127,NAVEEN,100,78
917,72127,NAVEEN,100,2837
918,72127,NAVEEN,100,3860
919,72127,NAVEEN,100,432
920,72127,NAVEEN,100,1657
921,72127,NAVEEN,100,2423
922,72127,NAVEEN,100,342
923,72127,NAVEEN,100,2484
924,72127,NAVEEN,100,3779
925,72127,NAVEEN,100,1499
926,72127,NAVEEN,100,6625
927,72127,NAVEEN,100,1562
928,72127,NAVEEN,100,364
929,72127,NAVEEN,100,137
931,72127,NAVEEN,100,1046
933,72127,NAVEEN,100,2
934,72021,BAYAMON,88.86,391
934,72061,GUAYNABO,11.14,49
935,72127,SAN JUAN,100,2
936,72127,SAN JUAN,100,652
937,72127,SAN JUAN,100,465
939,72127,SAN JUAN,100,1
940,72127,SAN JUAN,100,84
949,72137,TOA BAJA,100,2982
950,72137,TOA BAJA,100,137
951,72137,TOA BAJA,100,153
952,72137,TOA BAJA,100,864
953,72135,TOA ALTA,100,2871
954,72135,TOA ALTA,100,95
955,72127,SAN JUAN,100,1
956,72021,BAYAMON,100,3712
957,72021,BAYAMON,100,2649
958,72021,BAYAMON,100,83
959,72021,BAYAMON,100,3200
960,72021,BAYAMON,100,488
961,72021,BAYAMON,100,2397
962,72033,CATANO,100,1778
963,72033,CATANO,100,90
965,72061,GUAYNABO,100,585
966,72061,GUAYNABO,100,1641
968,72061,GUAYNABO,100,1049
969,72061,GUAYNABO,100,2569
970,72061,GUAYNABO,100,304
971,72061,GUAYNABO,100,714
975,72127,SAN JUAN,100,1
976,72127,SAN JUAN,2.41,72
976,72139,TRUJILLO ALTO,97.59,2919
977,72139,TRUJILLO ALTO,100,126
978,72139,TRUJILLO ALTO,100,14
979,72031,CAROLINA,44.62,991
979,72127,SAN JUAN,55.38,1230
981,72031,CAROLINA,66.8,169
981,72127,SAN JUAN,33.2,84
982,72031,CAROLINA,100,772
983,72031,CAROLINA,100,2250
984,72031,CAROLINA,100,207
985,72031,CAROLINA,100,1750
986,72031,CAROLINA,100,183
987,72031,CAROLINA,100,3319
988,72031,CAROLINA,100,500
1001,25013,HAMPDEN,100,2169
1002,25015,HAMPSHIRE,100,3158
1003,25015,HAMPSHIRE,100,243
1004,25015,HAMPSHIRE,100,168
1005,25027,WORCESTER,100,813
1007,25015,HAMPSHIRE,100,1177
1008,25013,HAMPDEN,100,137
1009,25013,HAMPDEN,100,92
1010,25013,HAMPDEN,100,337
1011,25013,HAMPDEN,91.12,154
1011,25015,HAMPSHIRE,8.88,15
1012,25015,HAMPSHIRE,100,42
1013,25013,HAMPDEN,100,3207
1014,25013,HAMPDEN,100,81
1020,25013,HAMPDEN,100,4012
1021,25013,HAMPDEN,100,112
1022,25013,HAMPDEN,100,501
1026,25015,HAMPSHIRE,100,169
1027,25015,HAMPSHIRE,100,2378
1028,25013,HAMPDEN,100,1775
1029,25003,BERKSHIRE,100,134
1030,25013,HAMPDEN,100,1205
1031,25027,WORCESTER,100,157
1032,25015,HAMPSHIRE,100,56
1033,25015,HAMPSHIRE,100,440
1034,25013,HAMPDEN,100,379
1035,25015,HAMPSHIRE,100,755
1036,25013,HAMPDEN,100,396
1037,25027,WORCESTER,100,151
1038,25015,HAMPSHIRE,100,288
1039,25015,HAMPSHIRE,100,129
1040,25013,HAMPDEN,100,7184
1041,25013,HAMPDEN,100,310
1050,25015,HAMPSHIRE,100,226
1053,25015,HAMPSHIRE,100,184
1054,25011,FRANKLIN,75.35,107
1054,25015,HAMPSHIRE,24.65,35
1056,25013,HAMPDEN,100,2465
1057,25013,HAMPDEN,100,830
1059,25015,HAMPSHIRE,100,12
1060,25015,HAMPSHIRE,100,3068
1061,25015,HAMPSHIRE,100,143
1062,25015,HAMPSHIRE,100,1243
1063,25015,HAMPSHIRE,100,116
1066,25015,HAMPSHIRE,100,34
1068,25027,WORCESTER,100,334
1069,25013,HAMPDEN,100,1219
1070,25015,HAMPSHIRE,100,96
1071,25013,HAMPDEN,100,235
1072,25011,FRANKLIN,100,134
1073,25015,HAMPSHIRE,100,545
1074,25027,WORCESTER,100,60
1075,25013,HAMPDEN,0.27,6
1075,25015,HAMPSHIRE,99.73,2221
1077,25013,HAMPDEN,100,737
1079,25013,HAMPDEN,100,58
1080,25013,HAMPDEN,100,286
1081,25013,HAMPDEN,100,137
1082,25015,HAMPSHIRE,100,1386
1083,25027,WORCESTER,100,341
1084,25015,HAMPSHIRE,100,23
1085,25013,HAMPDEN,100,4710
1086,25013,HAMPDEN,100,210
1088,25015,HAMPSHIRE,100,81
1089,25013,HAMPDEN,100,3949
1090,25013,HAMPDEN,100,77
1092,25027,WORCESTER,100,109
1093,25011,FRANKLIN,100,25
1094,25027,WORCESTER,100,12
1095,25013,HAMPDEN,100,1542
1096,25015,HAMPSHIRE,100,264
1097,25013,HAMPDEN,100,22
1098,25015,HAMPSHIRE,100,216
1101,25013,HAMPDEN,100,401
1102,25013,HAMPDEN,100,34
1103,25013,HAMPDEN,100,1232
1104,25013,HAMPDEN,100,2361
1105,25013,HAMPDEN,100,2765
1106,25013,HAMPDEN,100,1675
1107,25013,HAMPDEN,100,1401
1108,25013,HAMPDEN,100,3449
1109,25013,HAMPDEN,100,2875
1111,25013,HAMPDEN,100,4
1115,25013,HAMPDEN,100,7
1116,25013,HAMPDEN,100,57
1118,25013,HAMPDEN,100,1121
1119,25013,HAMPDEN,100,1237
1128,25013,HAMPDEN,100,250
1129,25013,HAMPDEN,100,803
1138,25013,HAMPDEN,100,85
1139,25013,HAMPDEN,100,77
1144,25013,HAMPDEN,100,146
1151,25013,HAMPDEN,100,1063
1152,25013,HAMPDEN,100,76
1199,25013,HAMPDEN,100,9
1201,25003,BERKSHIRE,100,6884
1202,25003,BERKSHIRE,100,253
1203,25003,BERKSHIRE,100,1
1220,25003,BERKSHIRE,100,1298
1222,25003,BERKSHIRE,100,86
1223,25003,BERKSHIRE,49.35,490
1223,25013,HAMPDEN,50.65,503
1224,25003,BERKSHIRE,100,23
1225,25003,BERKSHIRE,100,546
1226,25003,BERKSHIRE,100,959
1227,25003,BERKSHIRE,100,41
1229,25003,BERKSHIRE,100,19
1230,25003,BERKSHIRE,100,1826
1235,25003,BERKSHIRE,100,464
1236,25003,BERKSHIRE,100,181
1237,25003,BERKSHIRE,100,529
1238,25003,BERKSHIRE,100,1068
1240,25003,BERKSHIRE,100,881
1242,25003,BERKSHIRE,100,38
1243,25015,HAMPSHIRE,100,32
1244,25003,BERKSHIRE,100,30
1245,25003,BERKSHIRE,100,118
1247,25003,BERKSHIRE,100,2645
1252,25003,BERKSHIRE,100,1
1253,25003,BERKSHIRE,100,263
1254,25003,BERKSHIRE,100,324
1255,25003,BERKSHIRE,100,125
1256,25003,BERKSHIRE,100,256
1257,25003,BERKSHIRE,100,475
1258,25003,BERKSHIRE,100,102
1259,25003,BERKSHIRE,100,157
1260,25003,BERKSHIRE,100,27
1262,25003,BERKSHIRE,100,214
1263,25003,BERKSHIRE,100,4
1264,25003,BERKSHIRE,100,33
1266,25003,BERKSHIRE,100,218
1267,25003,BERKSHIRE,100,1340
1270,25003,BERKSHIRE,100,220
1301,25011,FRANKLIN,100,2543
1302,25011,FRANKLIN,100,88
1330,25011,FRANKLIN,100,272
1331,25027,WORCESTER,100,2229
1337,25011,FRANKLIN,100,387
1338,25011,FRANKLIN,100,25
1339,25011,FRANKLIN,100,249
1340,25011,FRANKLIN,100,211
1341,25011,FRANKLIN,100,232
1342,25011,FRANKLIN,100,146
1343,25003,BERKSHIRE,100,30
1344,25011,FRANKLIN,100,145
1346,25011,FRANKLIN,100,66
1347,25011,FRANKLIN,100,66
1349,25011,FRANKLIN,100,128
1350,25011,FRANKLIN,100,16
1351,25011,FRANKLIN,100,180
1354,25011,FRANKLIN,100,177
1355,25011,FRANKLIN,100,124
1360,25011,FRANKLIN,100,389
1364,25011,FRANKLIN,100,1128
1366,25011,FRANKLIN,51.79,58
1366,25027,WORCESTER,48.21,54
1367,25011,FRANKLIN,100,88
1368,25027,WORCESTER,100,219
1370,25011,FRANKLIN,100,777
1373,25011,FRANKLIN,100,580
